client-12  | 2024-05-27 14:56:08,441 winged-starfish INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-12  | 2024-05-27 14:56:08,442 winged-starfish INFO: Waiting 0.08338140837164665s to send result 48.
client-44  | 2024-05-27 14:56:08,443 merciful-ocelot INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-13  | 2024-05-27 14:56:08,443 sweet-malkoha INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-13  | 2024-05-27 14:56:08,443 sweet-malkoha INFO: Waiting 4.515999076446309s to send result 15.
client-21  | 2024-05-27 14:56:08,443 rousing-chupacabra INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-21  | 2024-05-27 14:56:08,443 rousing-chupacabra INFO: Waiting 8.647735010411719s to send result 26.
client-29  | 2024-05-27 14:56:08,443 charcoal-markhor INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-29  | 2024-05-27 14:56:08,443 charcoal-markhor INFO: Waiting 7.941011311532816s to send result 5.
client-44  | 2024-05-27 14:56:08,444 merciful-ocelot INFO: Waiting 0.25325442858837643s to send result 65.
client-35  | 2024-05-27 14:56:08,444 beneficial-uakari INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-35  | 2024-05-27 14:56:08,445 beneficial-uakari INFO: Waiting 6.727145062910003s to send result 83.
client-33  | 2024-05-27 14:56:08,444 delicate-turtle INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-33  | 2024-05-27 14:56:08,445 delicate-turtle INFO: Waiting 6.420516166111839s to send result 24.
client-25  | 2024-05-27 14:56:08,444 passionate-tanuki INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-25  | 2024-05-27 14:56:08,444 passionate-tanuki INFO: Waiting 0.8155352649924819s to send result 6.
client-30  | 2024-05-27 14:56:08,445 resilient-coua INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-45  | 2024-05-27 14:56:08,449 stimulating-beetle INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-45  | 2024-05-27 14:56:08,451 stimulating-beetle INFO: Waiting 0.5650029865225292s to send result 76.
client-30  | 2024-05-27 14:56:08,453 resilient-coua INFO: Waiting 7.64061660331755s to send result 71.
client-10  | 2024-05-27 14:56:08,455 complex-emu INFO: Received START command at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
client-10  | 2024-05-27 14:56:08,456 complex-emu INFO: Waiting 9.702980875905569s to send result 89.
client-12  | 2024-05-27 14:56:08,526 winged-starfish INFO: Sending result 48
server-1   | 2024-05-27 14:56:08,528 server INFO: Received WURF from winged-starfish with value 48 at [25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
server-1   | 2024-05-27 14:56:08,529 server INFO: Accepted WURF from winged-starfish because it depends on last start time [25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
client-46  | 2024-05-27 14:56:08,602 brainy-basilisk INFO: Received INIT commat at [27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 24.
server-1   | 2024-05-27 14:56:08,601 server INFO: Incomming connection from ('172.22.0.26', 60292)
client-44  | 2024-05-27 14:56:08,698 merciful-ocelot INFO: Sending result 65
server-1   | 2024-05-27 14:56:08,699 server INFO: Received WURF from merciful-ocelot with value 65 at [25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
server-1   | 2024-05-27 14:56:08,699 server INFO: Reject WURF from merciful-ocelot because it doe not depend on last start time [27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
server-1   | 2024-05-27 14:56:08,920 server INFO: Incomming connection from ('172.22.0.27', 34080)
client-2   | 2024-05-27 14:56:08,921 adventurous-goat INFO: Received INIT commat at [28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 25.
server-1   | 2024-05-27 14:56:09,019 server INFO: Received WURF from stimulating-beetle with value 76 at [25,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
server-1   | 2024-05-27 14:56:09,019 server INFO: Reject WURF from stimulating-beetle because it doe not depend on last start time [28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
client-45  | 2024-05-27 14:56:09,018 stimulating-beetle INFO: Sending result 76
server-1   | 2024-05-27 14:56:09,203 server INFO: Incomming connection from ('172.22.0.28', 45820)
client-7   | 2024-05-27 14:56:09,203 papaya-carp INFO: Received INIT commat at [29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 26.
server-1   | 2024-05-27 14:56:09,262 server INFO: Received WURF from passionate-tanuki with value 6 at [25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
server-1   | 2024-05-27 14:56:09,262 server INFO: Reject WURF from passionate-tanuki because it doe not depend on last start time [29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
client-25  | 2024-05-27 14:56:09,261 passionate-tanuki INFO: Sending result 6
client-18  | 2024-05-27 14:56:09,488 outrageous-polecat INFO: Sending result 38
server-1   | 2024-05-27 14:56:09,489 server INFO: Received WURF from outrageous-polecat with value 38 at [25,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
server-1   | 2024-05-27 14:56:09,490 server INFO: Reject WURF from outrageous-polecat because it doe not depend on last start time [29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
server-1   | 2024-05-27 14:56:09,575 server INFO: Incomming connection from ('172.22.0.29', 59352)
client-32  | 2024-05-27 14:56:09,576 sceptical-cuttlefish INFO: Received INIT commat at [30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 27.
server-1   | 2024-05-27 14:56:10,041 server INFO: Incomming connection from ('172.22.0.30', 45772)
client-9   | 2024-05-27 14:56:10,041 quartz-hornet INFO: Received INIT commat at [31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 28.
server-1   | 2024-05-27 14:56:10,147 server INFO: Incomming connection from ('172.22.0.31', 35020)
client-34  | 2024-05-27 14:56:10,148 shapeless-partridge INFO: Received INIT commat at [32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 29.
server-1   | 2024-05-27 14:56:10,426 server INFO: Incomming connection from ('172.22.0.32', 35398)
client-36  | 2024-05-27 14:56:10,426 skilled-newt INFO: Received INIT commat at [33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 30.
server-1   | 2024-05-27 14:56:10,736 server INFO: Incomming connection from ('172.22.0.33', 54178)
client-42  | 2024-05-27 14:56:10,737 white-goat INFO: Received INIT commat at [34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 31.
server-1   | 2024-05-27 14:56:10,825 server INFO: Received WURF from brave-cougar with value 73 at [25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
server-1   | 2024-05-27 14:56:10,825 server INFO: Reject WURF from brave-cougar because it doe not depend on last start time [34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
client-1   | 2024-05-27 14:56:10,823 brave-cougar INFO: Sending result 73
server-1   | 2024-05-27 14:56:11,044 server INFO: Incomming connection from ('172.22.0.34', 50158)
client-31  | 2024-05-27 14:56:11,045 hidden-dogfish INFO: Received INIT commat at [35,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 32.
server-1   | 2024-05-27 14:56:11,348 server INFO: Incomming connection from ('172.22.0.35', 56460)
client-16  | 2024-05-27 14:56:11,349 messy-wapiti INFO: Received INIT commat at [36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 33.
